"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","X1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","CV","WVL","Damage","MA","comments","logsize_t","logsize_t1","ant_t","ant_t1","flower1_YN","occ_t","occ_t1"
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,0,"vacant",2005,0,0,1,132,63,52,7,"23",25,"2",0,"",NA,NA,"",NA,"","","",11.01569424668,11.6461950542544,"vacant","vacant",TRUE,"vac","vac"
"14","T1","AD28",0,2004,90,62,62,8,1,1,0,39,"L",2005,0,0,1,96,70,43,6,"5",5,"0",23,"crem",NA,NA,"",NA,"","","",11.4139016764818,11.292652703834,"liom","crem",TRUE,"occ","occ"
"15","T1","AD29",0,2004,150,130,130,10,22,22,0,47,"L",2005,0,0,1,54,141,61,26,"26",27,"1",8,"dropoff",NA,NA,"",NA,"","","",13.4055274310688,11.8790483163082,"liom","other",TRUE,"occ","occ"
"16","T1","AD3",0,2004,90,74,74,8,7,7,0,0,"vacant",2005,0,0,1,95,59,50,6,"9",13,"4",33,"crem",NA,NA,"",NA,"","","",11.7677630928,11.2101015310003,"vacant","crem",TRUE,"vac","occ"
"17","T1","AD4",0,2004,99,94,94,6,17,18,1,0,"vacant",2005,0,0,1,103,98,29,15,"17",18,"1",4,"drpoff",NA,NA,"",NA,"","","",12.341532650736,11.5966320360883,"vacant","other",TRUE,"vac","occ"
"18","T1","AD6",0,2004,92,58,58,7,8,8,0,26,"L",2005,0,0,1,78,84,54,16,"1",1,"0",36,"liom",NA,NA,"",NA,"","","",11.3024978342033,11.4847450719455,"liom","liom",TRUE,"occ","occ"
"19","T1","AD8",0,2004,172,124,124,13,20,20,0,7,"L",2005,0,0,1,174,82,79,14,"21",21,"0",55,"liom",NA,NA,"",NA,"","","",13.4478808440849,12.595392904125,"liom","liom",TRUE,"occ","occ"
"20","T1","AD9",0,2004,84,88,88,3,12,12,0,0,"vacant",2005,0,0,1,87,63,31,8,"6",6,"0",0,"",NA,NA,"",NA,"","","",12.0453136638611,10.8260265581361,"vacant","vacant",TRUE,"vac","vac"
"21","T1","LJ11",0,2004,56,25,25,6,0,0,0,16,"C",2005,0,0,1,58,39,28,4,"0",0,"",18,"crem",NA,NA,"",NA,"","","",9.12292657653295,9.74335712426986,"crem","crem",FALSE,"occ","occ"
"22","T1","LJ12",0,2004,73,66,66,12,0,0,0,13,"L",2005,0,0,1,76,72,31,9,"0",0,"",23,"crem",NA,NA,"",NA,"","","",11.3295921612626,10.8737201916871,"liom","crem",FALSE,"occ","occ"
"23","T1","LJ13",0,2004,64,28,28,7,0,0,0,27,"C",2005,0,0,1,73,37,22,5,"0",0,"",0,"",NA,NA,"",NA,"","","",9.48311533977148,9.71906320390134,"crem","vacant",FALSE,"occ","vac"
"24","T1","LJ14",0,2004,63,62,62,7,0,0,0,0,"vacant",2005,0,0,1,66,40,29,7,"1",1,"0",0,"",NA,NA,"",NA,"","","",11.0572267325431,9.93139662616245,"vacant","vacant",TRUE,"vac","vac"
"25","T1","LJ15",0,2004,43,20,20,4,0,0,0,1,"L",2005,0,0,1,46,19,21,5,"0",0,"",0,"",NA,NA,"",NA,"","","",8.41248789886294,8.47992917965848,"liom","vacant",FALSE,"occ","vac"
"26","T1","LJ16",0,2004,57,67,67,9,0,0,0,20,"L",2005,0,0,1,70,69,52,11,"0",0,"",41,"liom",NA,NA,"",NA,"","","",11.1122597426779,11.1136052081843,"liom","liom",FALSE,"occ","occ"
"27","T1","LJ17",0,2004,47,29,29,10,0,0,0,0,"vacant",2005,0,0,1,49,34,28,10,"0",0,"",12,"crem",NA,NA,"",NA,"","","",9.24456249774441,9.41961794314232,"vacant","crem",FALSE,"vac","occ"
"28","T1","LJ3",0,2004,52,35,35,2,0,0,0,0,"vacant",2005,0,0,1,49,34,24,5,"0",0,"",2,"dropoff",NA,NA,"",NA,"","","",9.72176307762165,9.28623519414498,"vacant","other",FALSE,"vac","occ"
"29","T1","LJ8",0,2004,45,29,29,6,0,0,0,0,"vacant",2005,0,0,1,48,45,21,5,"0",0,"",1,"liom",NA,NA,"",NA,"","","",9.20107738580467,9.52403936990225,"vacant","liom",FALSE,"vac","occ"
"30","T1","LJ9",0,2004,63,48,48,6,0,0,0,5,"L",2005,0,0,1,77,45,39,4,"0",0,"",26,"crem",NA,NA,"",NA,"","","",10.5453599842687,10.4789678944818,"liom","crem",FALSE,"occ","occ"
"31","T1","SJ11",0,2004,32,15,15,3,0,0,0,0,"vacant",2005,0,0,1,34,26,23,0,"0",0,"",0,"",NA,NA,"",NA,"","","",7.54165954106555,8.58352999577892,"vacant","vacant",FALSE,"vac","vac"
"32","T1","SJ13",0,2004,22,18,18,2,0,0,0,0,"vacant",2005,0,0,1,33,12,12,3,"0",0,"",0,"",NA,NA,"",NA,"","","",7.53160920521205,7.12614409710388,"vacant","vacant",FALSE,"vac","vac"
"33","T1","SJ17",0,2004,20,13,13,1,0,0,0,0,"vacant",2005,0,0,1,26,11,10,3,"0",0,"",0,"",NA,NA,"",NA,"","","",6.78545422453846,6.62067028840984,"vacant","vacant",FALSE,"vac","vac"
"34","T1","SJ2",0,2004,48,32,32,3,0,0,0,2,"C",2005,0,0,1,51,22,14,2,"0",0,"",8,"crem",NA,NA,"",NA,"","","",9.46249605256874,8.37239238457805,"crem","crem",FALSE,"occ","occ"
"35","T1","SJ20",0,2004,25,22,22,2,0,0,0,0,"vacant",2005,0,0,1,21,19,14,0,"0",0,"",0,"",NA,NA,"",NA,"","","",8.06078396764623,7.31106643559789,"vacant","vacant",FALSE,"vac","vac"
"36","T1","SJ3",0,2004,38,30,30,6,0,0,0,3,"C",2005,0,0,1,34,35,27,4,"0",0,"",2,"crem",NA,NA,"",NA,"","","",9.0998041591121,9.05415816964785,"crem","crem",FALSE,"occ","occ"
"37","T1","SJ4",0,2004,46,42,42,3,0,0,0,15,"C",2005,0,0,1,61,33,24,7,"0",0,"",13,"crem",NA,NA,"",NA,"","","",9.96380386911723,9.47050527478392,"crem","crem",FALSE,"occ","occ"
"38","T1","SJ5",0,2004,23,10,10,2,0,0,0,0,"vacant",2005,0,0,1,30,14,9,3,"0",0,"",6,"crem",NA,NA,"",NA,"","","",6.40048763797864,6.94571468846196,"vacant","crem",FALSE,"vac","occ"
"39","T1","SJ7",0,2004,30,23,23,2,0,0,0,3,"L",2005,0,0,1,33,24,22,3,"0",0,"",0,"",NA,NA,"",NA,"","","",8.33200904958185,8.42731922938618,"liom","vacant",FALSE,"occ","vac"
"40","T1","SJ9",0,2004,12,7,7,2,0,0,0,0,"vacant",2005,0,0,1,9,5,4,2,"0",0,"",0,"",NA,NA,"",NA,"","","",5.03655018396003,3.86520260695017,"vacant","vacant",FALSE,"vac","vac"
"41","T2","AD1",0,2004,110,90,90,16,25,26,1,6,"L",2005,0,0,1,124,88,73,16,"20",20,"0",38,"liom",NA,NA,"",NA,"","","",12.3599229425143,12.2566191705155,"liom","liom",TRUE,"occ","occ"
"42","T2","AD11",0,2004,76,50,50,7,1,1,0,0,"vacant",2005,0,0,1,80,57,41,4,"1",1,"0",0,"",NA,NA,"",NA,"","","",10.814602587204,10.8254904669565,"vacant","vacant",TRUE,"vac","vac"
"43","T2","AD12",0,2004,146,123,123,10,18,18,0,0,"vacant",2005,0,0,1,151,119,69,5,"15",17,"2",27,"crem",NA,NA,"",NA,"","","",13.2677985685146,12.7636926374163,"vacant","crem",TRUE,"vac","occ"
"44","T2","AD14",0,2004,97,118,118,24,11,18,7,0,"vacant",2005,0,0,1,100,105,53,16,"11",23,"12",9,"liom",NA,NA,"",NA,"","","",12.7759034634961,12.0038891269835,"vacant","liom",TRUE,"vac","occ"
"45","T2","AD15",0,2004,120,87,87,11,16,16,0,0,"vacant",2005,0,0,1,137,81,78,8,"9",9,"0",44,"liom",NA,NA,"",NA,"","","",12.3791312161526,12.3313182052101,"vacant","liom",TRUE,"vac","occ"
"46","T2","AD16",0,2004,80,72,72,24,12,12,0,0,"vacant",2005,0,0,1,84,77,40,7,"2",2,"0",5,"liom",NA,NA,"",NA,"","","",11.5951821087674,11.2286935433803,"vacant","liom",TRUE,"vac","occ"
"47","T2","AD17",0,2004,92,67,67,14,13,13,0,10,"L",2005,0,0,1,94,64,32,8,"0",0,"",12,"liom",NA,NA,"",NA,"","","",11.5909970518924,10.9455200401472,"liom","liom",FALSE,"occ","occ"
"48","T2","AD18",0,2004,124,61,61,21,19,19,0,0,"vacant",2005,0,0,1,128,95,70,21,"22",23,"1",18,"liom",NA,NA,"",NA,"","","",11.7018525300131,12.3374500866623,"vacant","liom",TRUE,"vac","occ"
"49","T2","AD19",0,2004,122,48,48,3,22,26,4,0,"vacant",2005,0,0,1,126,47,36,3,"5",5,"0",12,"liom",NA,NA,"",NA,"","","",11.2062463026104,10.9474919974862,"vacant","liom",TRUE,"vac","occ"
"50","T2","AD22",0,2004,82,80,80,4,10,12,2,0,"vacant",2005,0,0,1,82,72,65,6,"4",4,"0",26,"liom",NA,NA,"",NA,"","","",11.8305957526734,11.520209973862,"vacant","liom",TRUE,"vac","occ"
"51","T2","AD23",0,2004,170,122,122,11,28,29,1,11,"L",2005,0,0,1,145,137,98,14,"9",9,"0",16,"liom",NA,NA,"",NA,"","","",13.4036637625782,13.1694336456504,"liom","liom",TRUE,"occ","occ"
"52","T2","AD24",0,2004,140,79,79,7,10,10,0,33,"L",2005,0,0,1,153,93,54,11,"7",7,"0",27,"liom",NA,NA,"",NA,"","","",12.3403613636047,12.2848319698914,"liom","liom",TRUE,"occ","occ"
"53","T2","AD28",0,2004,90,57,57,8,1,1,0,4,"C",2005,0,0,1,117,60,53,9,"15",17,"2",50,"crem",NA,NA,"",NA,"","","",11.2457354420608,11.4904784471639,"crem","crem",TRUE,"occ","occ"
"54","T2","AD29",0,2004,99,77,77,7,11,11,0,0,"vacant",2005,0,0,1,95,90,47,12,"3",4,"1",9,"liom",NA,NA,"",NA,"","","",11.9425539299034,11.6673676181983,"vacant","liom",TRUE,"vac","occ"
"55","T2","AD3",0,2004,113,55,55,4,12,12,0,32,"L",2005,0,0,1,116,49,42,3,"1",1,"0",16,"liom",NA,NA,"",NA,"","","",11.4018774252387,11.0488380790816,"liom","liom",TRUE,"occ","occ"
"56","T2","AD30",0,2004,114,70,70,18,10,11,1,0,"vacant",2005,0,0,1,124,72,42,8,"12",13,"1",21,"liom",NA,NA,"",NA,"","","",11.8930121685546,11.5662073373355,"vacant","liom",TRUE,"vac","occ"
"57","T2","AD4",0,2004,717,112,112,25,8,18,10,0,"vacant",2005,0,0,1,171,99,69,24,"16",25,"9",23,"crem",NA,NA,"",NA,"","","",14.6718968192512,12.6631203902507,"vacant","crem",TRUE,"vac","occ"
"58","T2","AD6",0,2004,66,93,93,10,13,13,0,50,"L",2005,0,0,1,78,58,54,12,"4",6,"2",38,"liom",NA,NA,"",NA,"","","",11.9146769643943,11.0672354442213,"liom","liom",TRUE,"occ","occ"
"59","T2","AD7",0,2004,170,85,85,10,10,11,1,11,"L",2005,0,0,1,173,93,55,27,"8",11,"3",18,"liom",NA,NA,"",NA,"","","",12.6809241860923,12.4212450169675,"liom","liom",TRUE,"occ","occ"
"60","T2","AD9",0,2004,85,64,64,3,13,13,0,0,"vacant",2005,0,0,1,86,73,36,5,"4",4,"0",13,"liom",NA,NA,"",NA,"","","",11.4202406592711,11.1105719356533,"vacant","liom",TRUE,"vac","occ"
"61","T2","LJ10",0,2004,67,49,49,2,0,0,0,0,"vacant",2005,0,0,1,72,36,21,1,"0",0,"",0,"",NA,NA,"",NA,"","","",10.6481564516736,9.63629752962667,"vacant","vacant",FALSE,"vac","vac"
"62","T2","LJ11",0,2004,57,19,19,3,0,0,0,19,"C",2005,0,0,1,70,32,18,2,"0",0,"",2,"liom",NA,NA,"",NA,"","","",8.59175246222883,9.34607012784716,"crem","liom",FALSE,"occ","occ"
"63","T2","LJ12",0,2004,57,63,63,8,0,0,0,0,"vacant",2005,0,0,1,68,48,28,3,"0",0,"",4,"lg unk",NA,NA,"",NA,"","","",10.989143956679,10.1545032606903,"vacant","other",FALSE,"vac","occ"
"64","T2","LJ14",0,2004,62,48,48,8,0,0,0,0,"vacant",2005,0,0,1,57,59,33,8,"0",0,"",1,"liom",NA,NA,"",NA,"","","",10.5293596429223,10.3601572968741,"vacant","liom",FALSE,"vac","occ"
"65","T2","LJ17",0,2004,57,56,56,14,0,0,0,6,"L",2005,0,0,1,74,60,45,11,"0",0,"",27,"crem",NA,NA,"",NA,"","","",10.7535778853662,10.8855146684607,"liom","crem",FALSE,"occ","occ"
"66","T2","LJ2",0,2004,52,43,43,9,0,0,0,27,"",2005,0,0,1,60,44,33,5,"0",0,"",53,"liom",NA,NA,"",NA,"","","",10.13346718603,10.055484280871,NA,"liom",FALSE,NA,"occ"
"67","T2","LJ5",0,2004,60,65,65,11,0,0,0,11,"C",2005,0,0,1,75,62,50,13,"0",1,"1",0,"",NA,NA,"",NA,"","","",11.1029423380748,11.028014731068,"crem","vacant",TRUE,"occ","vac"
"68","T2","LJ6",0,2004,58,64,64,17,0,0,0,0,"vacant",2005,0,0,1,68,70,56,11,"7",7,"0",0,"",NA,NA,"",NA,"","","",11.0380324133272,11.1656003940206,"vacant","vacant",TRUE,"vac","vac"
"69","T2","LJ7",0,2004,124,104,104,9,0,3,3,38,"L",2005,0,0,1,140,87,74,12,"7",7,"0",18,"liom",NA,NA,"",NA,"","","",12.7688865999492,12.3779800275197,"liom","liom",TRUE,"occ","occ"
"70","T2","LJ9",0,2004,54,53,53,7,0,0,0,0,"vacant",2005,0,0,1,56,41,22,6,"0",0,"",0,"",NA,NA,"",NA,"","","",10.5893911097299,9.58515001845972,"vacant","vacant",FALSE,"vac","vac"
"71","T2","SJ1",0,2004,38,24,24,5,0,0,0,0,"vacant",2005,0,0,1,30,26,12,1,"0",0,"",0,"",NA,NA,"",NA,"","","",8.65351705648368,7.94989857605644,"vacant","vacant",FALSE,"vac","vac"
"72","T2","SJ10",0,2004,15,12,12,3,0,0,0,0,"vacant",2005,0,0,1,20,14,7,4,"0",0,"",0,"",NA,NA,"",NA,"","","",6.33768673673961,6.35830602394235,"vacant","vacant",FALSE,"vac","vac"
"73","T2","SJ12",0,2004,17,14,14,1,0,0,0,0,"vacant",2005,0,0,1,35,17,11,2,"0",0,"",0,"",NA,NA,"",NA,"","","",6.77115123934813,7.49328595678133,"vacant","vacant",FALSE,"vac","vac"
"74","T2","SJ13",0,2004,23,22,22,5,0,0,0,0,"vacant",2005,0,0,1,24,20,15,1,"0",0,"",0,"",NA,NA,"",NA,"","","",7.97740235870718,7.56227882826828,"vacant","vacant",FALSE,"vac","vac"
"75","T2","SJ14",0,2004,20,10,10,2,0,0,0,0,"vacant",2005,0,0,1,29,13,4,0,"0",0,"",0,"",NA,NA,"",NA,"","","",6.26072569560348,6.30725139304042,"vacant","vacant",FALSE,"vac","vac"
"76","T2","SJ16",0,2004,27,13,13,2,0,0,0,0,"vacant",2005,0,0,1,30,18,15,4,"0",0,"",0,"",NA,NA,"",NA,"","","",7.0855588169888,7.66774137953662,"vacant","vacant",FALSE,"vac","vac"
"77","T2","SJ17",0,2004,22,13,13,6,0,0,0,0,"vacant",2005,0,0,1,21,15,14,0,"0",0,"",0,"",NA,NA,"",NA,"","","",6.88076440434279,7.05264297263788,"vacant","vacant",FALSE,"vac","vac"
"78","T2","SJ2",0,2004,22,19,19,1,0,0,0,0,"vacant",2005,0,0,1,25,18,9,3,"0",0,"",11,"liom",NA,NA,"",NA,"","","",7.6397436477526,7.08407843181837,"vacant","liom",FALSE,"vac","occ"
"79","T2","SJ3",0,2004,13,3,3,2,0,0,0,0,"vacant",2005,0,0,1,16,2,2,0,"0",0,"",0,"",NA,NA,"",NA,"","","",3.42199717085916,2.81870631942107,"vacant","vacant",FALSE,"vac","vac"
"80","T2","SJ9",0,2004,26,17,17,4,0,0,0,2,"C",2005,0,0,1,32,21,13,4,"0",0,"",6,"crem",NA,NA,"",NA,"","","",7.58434646219531,7.79198582697356,"crem","crem",FALSE,"occ","occ"
"81","T3","AD1",0,2004,102,63,63,18,7,7,0,2,"L",2005,0,0,1,114,66,29,6,"22",23,"1",3,"unk",NA,NA,"",NA,"","","",11.5710655021287,11.1174811065371,"liom","other",TRUE,"occ","occ"
"82","T3","AD10",0,2004,94,79,79,24,19,24,5,22,"L",2005,0,0,1,97,89,52,20,"4",5,"1",12,"liom",NA,NA,"",NA,"","","",11.9420137232654,11.7457596342012,"liom","liom",TRUE,"occ","occ"
"83","T3","AD12",0,2004,82,124,124,16,6,7,1,0,"vacant",2005,0,0,1,90,69,54,18,"16",18,"2",7,"liom",NA,NA,"",NA,"","","",12.7071056145357,11.3977072560166,"vacant","liom",TRUE,"vac","occ"
"84","T3","AD13",0,2004,87,92,92,19,17,18,1,0,"vacant",2005,0,0,1,88,85,49,14,"8",8,"0",0,"",NA,NA,"",NA,"","","",12.1693085088141,11.5465452893215,"vacant","vacant",TRUE,"vac","vac"
"85","T3","AD15",0,2004,82,62,62,17,2,2,0,0,"vacant",2005,0,0,1,79,69,48,12,"0",0,"",0,"",NA,NA,"",NA,"","","",11.3208112534158,11.167324597004,"vacant","vacant",FALSE,"vac","vac"
"86","T3","AD17",0,2004,83,100,100,10,30,30,0,0,"vacant",2005,0,0,1,98,98,45,26,"1",4,"3",1,"liom",NA,NA,"",NA,"","","",12.2890042158342,11.7841856141319,"vacant","liom",TRUE,"vac","occ"
"87","T3","AD18",0,2004,148,88,88,18,9,9,0,4,"L",2005,0,0,1,132,83,47,13,"8",8,"0",7,"liom",NA,NA,"",NA,"","","",12.6117091387819,11.891399698439,"liom","liom",TRUE,"occ","occ"
"88","T3","AD19",0,2004,85,68,68,5,27,27,0,0,"vacant",2005,0,0,1,89,54,30,9,"7",7,"0",17,"liom",NA,NA,"",NA,"","","",11.5414899029039,10.6237988423603,"vacant","liom",TRUE,"vac","occ"
"89","T3","AD20",0,2004,67,63,63,8,7,10,3,0,"vacant",2005,0,0,1,92,51,40,7,"16",18,"2",2,"liom",NA,NA,"",NA,"","","",11.1507853082354,10.8170364650243,"vacant","liom",TRUE,"vac","occ"
"90","T3","AD21",0,2004,102,86,86,14,14,14,0,0,"vacant",2005,0,0,1,97,72,58,9,"6",6,"0",0,"",NA,NA,"",NA,"","","",12.1934906418527,11.5833087543561,"vacant","vacant",TRUE,"vac","vac"
"91","T3","AD22",0,2004,89,37,37,10,9,10,1,0,"vacant",2005,0,0,1,95,41,36,4,"4",4,"0",0,"",NA,NA,"",NA,"","","",10.370295431082,10.5150166102494,"vacant","vacant",TRUE,"vac","vac"
"92","T3","AD24",0,2004,100,85,85,5,13,18,5,0,"vacant",2005,0,0,1,112,81,55,11,"12",12,"0",0,"",NA,NA,"",NA,"","","",12.1502959350301,11.8173375177087,"vacant","vacant",TRUE,"vac","vac"
"93","T3","AD25",0,2004,93,60,60,16,7,7,0,2,"L",2005,0,0,1,84,64,45,5,"0",0,"",15,"liom",NA,NA,"",NA,"","","",11.3811118536589,11.0870414382431,"liom","liom",FALSE,"occ","occ"
"94","T3","AD28",0,2004,95,53,53,12,19,19,0,0,"vacant",2005,0,0,1,87,55,46,11,"3",5,"2",0,"",NA,NA,"",NA,"","","",11.1542839547662,10.9696780272786,"vacant","vacant",TRUE,"vac","vac"
"95","T3","AD3",0,2004,90,78,78,22,31,38,7,22,"L",2005,0,0,1,97,96,87,27,"20",25,"5",45,"liom",NA,NA,"",NA,"","","",11.8730505597708,12.2672121591277,"liom","liom",TRUE,"occ","occ"
"96","T3","AD30",0,2004,76,63,63,8,3,3,0,12,"L",2005,0,0,1,88,42,39,6,"3",3,"0",34,"liom",NA,NA,"",NA,"","","",11.2768260291308,10.5397639987646,"liom","liom",TRUE,"occ","occ"
"97","T3","AD5",0,2004,86,98,98,32,5,5,0,18,"L",2005,0,0,1,89,83,69,13,"7",12,"5",12,"liom",NA,NA,"",NA,"","","",12.2841054896561,11.8099262863662,"liom","liom",TRUE,"occ","occ"
"98","T3","AD6",0,2004,100,61,61,13,25,25,0,36,"L",2005,0,0,1,105,58,50,5,"10",15,"5",51,"liom",NA,NA,"",NA,"","","",11.4867411503961,11.2917516793475,"liom","liom",TRUE,"occ","occ"
"99","T3","AD7",0,2004,130,80,80,19,25,26,1,12,"L",2005,0,0,1,138,87,51,15,"33",35,"2",33,"liom",NA,NA,"",NA,"","","",12.2914109558647,12.0552899304131,"liom","liom",TRUE,"occ","occ"
"100","T3","AD8",0,2004,115,74,74,13,13,13,0,14,"L",2005,0,0,1,118,74,65,17,"12",13,"1",25,"liom",NA,NA,"",NA,"","","",12.012885550833,11.9131613656686,"liom","liom",TRUE,"occ","occ"
"101","T3","LJ13",0,2004,41,23,23,2,0,0,0,0,"vacant",2005,0,0,1,50,24,22,5,"0",0,"",0,"",NA,NA,"",NA,"","","",8.64438373462401,8.84283467334784,"vacant","vacant",FALSE,"vac","vac"
"102","T3","LJ14",0,2004,57,54,54,7,0,0,0,0,"vacant",2005,0,0,1,70,54,30,5,"2",3,"1",0,"",NA,NA,"",NA,"","","",10.6808425970245,10.3836577146775,"vacant","vacant",TRUE,"vac","vac"
"103","T3","LJ17",0,2004,55,43,43,8,0,0,0,17,"L",2005,0,0,1,67,52,31,11,"0",0,"",26,"liom",NA,NA,"",NA,"","","",10.189556652681,10.3159027099257,"liom","liom",FALSE,"occ","occ"
"104","T3","LJ18",0,2004,73,56,56,12,0,0,0,22,"L",2005,0,0,1,90,60,31,14,"0",0,"",34,"liom",NA,NA,"",NA,"","","",11.0009860586801,10.7950575583055,"liom","liom",FALSE,"occ","occ"
"105","T3","LJ19",0,2004,71,42,42,9,0,0,0,26,"L",2005,0,0,1,72,44,35,2,"0",0,"",6,"liom",NA,NA,"",NA,"","","",10.3978423496695,10.2890906988916,"liom","liom",FALSE,"occ","occ"
"106","T3","LJ2",0,2004,61,56,56,9,0,0,0,28,"L",2005,0,0,1,67,59,56,13,"0",0,"",15,"liom",NA,NA,"",NA,"","","",10.821400481705,10.968085751059,"liom","liom",FALSE,"occ","occ"
"107","T3","LJ20",0,2004,49,37,37,11,0,0,0,0,"vacant",2005,0,0,1,52,32,25,3,"0",0,"",0,"",NA,NA,"",NA,"","","",9.77347935946048,9.31087512919204,"vacant","vacant",FALSE,"vac","vac"
"108","T3","LJ4",0,2004,71,63,63,26,0,0,0,21,"L",2005,0,0,1,76,67,52,14,"8",8,"0",28,"liom",NA,NA,"",NA,"","","",11.2087725658858,11.1625092014509,"liom","liom",TRUE,"occ","occ"
"109","T3","LJ6",0,2004,56,36,36,11,0,0,0,18,"L",2005,0,0,1,62,38,35,4,"0",1,"1",4,"unk",NA,NA,"",NA,"","","",9.85221280370877,9.98158214228338,"liom","other",TRUE,"occ","occ"
"110","T3","LJ8",0,2004,38,24,24,9,0,0,0,0,"vacant",2005,0,0,1,47,32,29,6,"0",0,"",0,"",NA,NA,"",NA,"","","",8.65351705648368,9.34542420499819,"vacant","vacant",FALSE,"vac","vac"
"111","T3","SJ10",0,2004,19,9,9,3,0,0,0,0,"vacant",2005,0,0,1,29,12,8,4,"0",0,"",0,"",NA,NA,"",NA,"","","",5.99871136990028,6.63228925203596,"vacant","vacant",FALSE,"vac","vac"
"112","T3","SJ11",0,2004,17,23,23,5,0,0,0,0,"vacant",2005,0,0,1,17,23,7,1,"0",0,"",0,"",NA,NA,"",NA,"","","",7.76402501197592,6.90913698232204,"vacant","vacant",FALSE,"vac","vac"
"113","T3","SJ12",0,2004,28,20,20,3,0,0,0,8,"L",2005,0,0,1,35,25,17,2,"0",0,"",0,"",NA,NA,"",NA,"","","",7.98349229334459,8.30421617299766,"liom","vacant",FALSE,"occ","vac"
"114","T3","SJ13",0,2004,25,10,10,7,0,0,0,0,"vacant",2005,0,0,1,24,15,8,4,"0",0,"",0,"",NA,NA,"",NA,"","","",6.48386924691769,6.72257113714775,"vacant","vacant",FALSE,"vac","vac"
"115","T3","SJ14",0,2004,25,31,31,7,0,0,0,9,"L",2005,0,0,1,29,32,18,2,"0",0,"",1,"liom",NA,NA,"",NA,"","","",8.74667346989989,8.46487071578428,"liom","liom",FALSE,"occ","occ"
